federal,Clarity Score
0,-1.078019
0,-1.106145
0,-1.032744
0,-0.9154063
0,-1.086833
0,-1.100691
0,-1.08797
0,-1.092228
0,-1.077974
0,-1.098173
0,-1.100748
0,-1.113149
0,-1.094566
0,-1.114082
0,-1.072795
0,-1.09475
0,-1.06694
0,-1.060388
0,-1.080688
0,-1.067551
0,-1.104029
0,-1.129656
0,-1.022679
0,-1.05409
0,-1.088672
0,-1.04624
0,-1.076498
0,-1.045651
0,-1.070431
0,-1.027702
0,-1.037676
0,-0.9451361
0,-1.085498
0,-1.027186
0,-1.11096
0,-1.125163
0,-1.036685
0,-1.071884
0,-1.048781
0,-1.049133
0,-1.043011
0,-1.084495
0,-1.052943
0,-1.061414
0,-1.112023
0,-1.067815
0,-1.051422
0,-0.9763765
0,-1.066639
0,-1.107728
0,-1.036969
0,-1.048965
0,-1.082845
0,-1.046887
0,-1.043836
0,-1.052476
0,-1.022326
0,-1.013076
0,-1.105213
0,-1.028372
0,-1.093155
0,-1.005826
0,-1.111166
0,-1.116309
0,-1.100623
0,-1.026506
0,-1.050074
0,-1.06784
0,-1.061748
0,-1.071398
0,-1.040418
0,-1.039702
0,-1.054039
0,-1.033157
0,-1.034411
0,-1.029078
0,-1.006912
0,-1.057703
0,-1.123205
0,-0.9887801
0,-1.041451
0,-1.030676
0,-1.037872
0,-1.02622
0,-1.033646
0,-1.008739
0,-1.049956
0,-1.05998
0,-1.050349
0,-1.037611
0,-0.9980178
0,-1.086535
0,-1.057197
0,-1.074011
0,-1.01763
0,-1.07532
0,-1.032206
0,-1.01494
0,-1.02846
0,-1.051136
0,-1.070304
0,-1.018435
0,-0.9880417
0,-1.03265
0,-1.07912
0,-1.090051
0,-1.018857
0,-1.089272
0,-1.012724
0,-1.046611
0,-1.021346
0,-1.035386
0,-1.037341
0,-1.093484
0,-1.119447
0,-1.015627
0,-1.036743
0,-1.058311
0,-1.055219
0,-1.10375
0,-1.049007
0,-1.019748
0,-1.015667
0,-1.084105
0,-1.03734
0,-1.011503
0,-1.007561
0,-1.064466
0,-1.039913
