"","number_tokens","ave_syllabels","perc_differentwords2","mean_sent_length","docdate"
"1370",16769,2.00526495726496,0.103863247863248,45.60471976,1999-01-21
"1371",3054,2.00074906367041,0.228464419475655,44.74193548,1997-03-20
"1372",2378,1.9287037037037,0.227314814814815,54.61904762,1996-09-12
"1373",3203,1.87608069164265,0.174351585014409,52.19642857,1997-02-27
"1374",4663,2.00744601638124,0.186646810622983,44.04081633,1998-01-29
"1375",4439,1.91131798138168,0.165115139637433,48.04444444,1996-10-17
"1376",5329,1.95090667846086,0.151702786377709,53.23595506,1997-06-17
"1377",3694,1.94031279923396,0.206192148100862,41.79746835,1997-04-22
"1378",3217,1.99671532846715,0.225547445255474,41.94366197,1997-10-09
"1379",5161,1.97525686726777,0.144474732648354,49.66666667,1996-11-26
"1380",3200,1.91475295755045,0.174669450243563,49.38095238,1996-12-05
"1381",11333,1.95406929895246,0.11875503626108,39.26515152,1998-05-28
"1382",5137,2.01242095754291,0.187895212285456,49.67368421,1997-06-17
"1383",4422,1.93092282784673,0.166216945493794,45.86206897,1997-02-04
"1384",7576,1.91732172936552,0.123104997192588,49.47333333,1996-10-24
"1385",5183,1.87989939216097,0.153846153846154,44.57894737,1996-10-24
"1386",4021,1.89383378016086,0.165683646112601,55.61971831,1996-12-12
"1387",6947,1.88627269929209,0.131117266851339,42.9375,1996-10-24
"1388",1962,1.91230936819172,0.247821350762527,46.75609756,1996-11-07
"1389",2051,1.84070324986681,0.220564730953649,44.51111111,1996-10-10
"1390",1312,1.91148775894539,0.222222222222222,86.78571429,1996-09-26
"1391",9986,1.96463022508039,0.126894809370694,40.52888889,1998-05-28
"1392",2118,1.94964422550629,0.268199233716475,48.7,1997-02-06
"1393",2785,1.95677123182862,0.19663351185922,55.73469388,1996-07-30
"1394",3334,1.83209076175041,0.170826580226904,48.64179104,1996-12-05
"1395",4106,1.91416058394161,0.154452554744526,51.74647887,1997-02-20
"1396",3997,2.00416542695626,0.193989883963106,44.97530864,1997-02-04
"1397",3713,1.94602551521099,0.192018318613019,38.04494382,1997-04-17
"1398",3381,1.83181102362205,0.170393700787402,41.24691358,1996-10-24
"1399",5516,2.03966597077244,0.152400835073069,56,1997-07-10
"1400",6213,1.9967918475184,0.150783166635214,35.98709677,1997-07-17
"1401",5449,1.92787648054146,0.181472081218274,48.42718447,1998-03-19
"1402",2377,1.94648526077098,0.192743764172336,59.69230769,1996-12-12
"1403",5002,2.03901200369344,0.164589104339797,60.7972973,1999-03-11
"1404",4310,2.00469613259669,0.172651933701657,46.61904762,1998-11-12
"1405",3955,2.03947368421053,0.169590643274854,57.50793651,1997-03-13
"1406",2471,1.95868152274838,0.222376973073352,44.35294118,1997-12-16
"1407",2785,2.08259587020649,0.225453013063633,50.83673469,1997-06-17
"1408",4125,2.02195327891922,0.221502955249085,48.33333333,1998-05-12
"1409",846,1.97774687065369,0.337969401947149,38.85,1997-06-05
"1410",3970,1.98346131128175,0.220318960425281,100.8857143,2001-02-01
"1411",5266,1.90876882196634,0.148361381753764,54.03409091,1998-05-07
"1412",3529,2.04667981591059,0.229125575279421,42.70666667,1997-06-25
"1413",1952,1.95070422535211,0.248239436619718,51.31428571,1997-11-06
"1414",2353,1.99850894632207,0.242544731610338,53.58974359,1997-09-17
"1415",3037,1.98146747352496,0.206127080181543,47.34482759,1998-04-28
"1416",3274,1.9621698786581,0.210563882940757,57.07843137,1997-10-02
"1417",2195,1.9545700378583,0.22065981611682,53.91891892,1998-05-07
"1418",2767,1.90567648314127,0.189073836961161,50.96,1998-01-15
"1419",3246,1.99451353328456,0.220921726408193,42.44117647,1998-12-10
"1420",4018,1.98345367027677,0.185018050541516,43.31325301,1997-12-18
"1421",2708,2.02656794425087,0.218641114982578,53.77777778,1997-03-20
"1422",1993,1.89782345828295,0.269649334945586,49.52777778,1997-09-17
"1423",2845,1.96137521222411,0.203310696095076,48.13207547,1997-06-25
"1424",2018,1.88410017472335,0.228305183459522,51.5,1998-09-24
"1425",645,1.95590828924162,0.317460317460317,46.61538462,1997-02-20
"1426",4499,2.0694591728526,0.174178154825027,48.54761905,1998-07-16
"1427",1217,2.05608365019011,0.296577946768061,46.375,1997-11-27
"1428",925,2.00121951219512,0.292682926829268,48.33333333,1997-06-12
"1429",1052,2.06124721603563,0.253897550111359,51.47368421,1997-09-16
"1430",3895,2.01896447922938,0.195665261890427,51.76470588,1997-05-29
"1431",3338,1.84327846364883,0.170781893004115,58.16981132,1997-09-17
"1432",2662,1.98815566835871,0.200084602368866,54.95555556,1997-07-17
"1433",1911,1.8978288633461,0.248403575989783,47.02702703,1997-12-09
"1434",3974,1.92325786533373,0.172302264039988,61.20338983,1997-10-02
"1435",1944,1.96494355317885,0.254307783719548,43.24390244,1997-09-16
"1436",3998,1.97100608872137,0.191069875326181,41.89772727,2000-06-22
"1437",7168,1.99487179487179,0.154487179487179,48.16176471,1999-11-23
"1438",3264,2.01339608979001,0.203475742215786,45.23076923,1998-01-15
"1439",2041,1.94706224549156,0.217568353694008,53.88235294,1997-06-12
"1440",4283,1.88307857334406,0.166264414052025,49.87341772,1997-05-29
"1441",2868,1.83039014373717,0.214373716632444,55.57446809,1998-10-22
"1442",8110,1.98965712666478,0.155568149617455,43.6547619,1998-05-05
"1443",4053,1.96188276061219,0.184522090672827,42.81395349,1998-04-28
"1444",4618,2.11468461730242,0.173522812266268,40.3047619,1998-11-19
"1445",4046,1.96969696969697,0.188811188811189,46.39240506,1998-03-05
"1446",5003,2.02673796791444,0.157172750523134,56.25925926,1998-01-29
"1447",5614,1.98391089108911,0.166460396039604,48.76415094,1998-06-16
"1448",3246,2,0.220248667850799,50.76271186,1998-02-12
"1449",1443,2.04152823920266,0.277408637873754,56.86956522,1997-11-06
"1450",2005,2.020184544406,0.256632064590542,44.51219512,1997-07-17
"1451",2454,1.89468645284825,0.209191000478698,46.85106383,1998-05-12
"1452",5218,1.92195797737243,0.151235280535673,50.14130435,1998-07-16
"1453",4147,1.84443246157994,0.174440550013481,45.45882353,1998-07-14
"1454",3612,2.00745301360985,0.222942320155541,42.64473684,1998-12-10
"1455",5451,1.89260490236809,0.177191524719568,41.23577236,2000-04-13
"1456",2724,2.00473933649289,0.224472210254201,46.32075472,1997-10-16
"1457",13130,1.99601417183348,0.12311780336581,43.61254613,1998-05-05
"1458",3762,1.9695351758794,0.178077889447236,50.44117647,1999-01-28
"1459",2013,1.93907210732253,0.25321408608161,40.76086957,1998-10-22
"1460",3420,1.95283018867925,0.193570929419986,51.13114754,1998-10-29
"1461",3937,2.02259716782163,0.186501958421211,50.01388889,1998-12-17
"1462",2239,1.99948822927329,0.242579324462641,53.92105263,1998-03-12
"1463",3527,1.87364735837046,0.193189051559516,62.59615385,1997-11-20
"1464",5415,2.12249253094323,0.207426376440461,42.62068966,1998-06-25
"1465",4167,1.91571943443305,0.150817854172442,52.2739726,1998-03-05
"1466",1698,1.94776632302405,0.27766323024055,44.68571429,1997-03-13
"1467",5271,1.94986326344576,0.15975387420237,51.69565217,1997-11-04
